state,subject_1,subject_2,n1,n2,jsd,p_value,effect_z,q_value
"Low HRV (Parasympathetic Withdrawal, Z < -0.5)",S10,S11,115,70,0.5463523943519817,0.0,82.28610658047421,0.0
"High SCL (High General Arousal, Z > 0.5)",S10,S11,72,53,0.3658416798061164,0.0,42.82215571164726,0.0
"High SCL (High General Arousal, Z > 0.5)",S11,S13,53,66,0.3658416798061164,0.0,38.81072941578674,0.0
"Low HRV (Parasympathetic Withdrawal, Z < -0.5)",S11,S13,70,140,0.3146918301979302,0.0,35.12147130983984,0.0
"High LF/HF (Sympathetic Dominance, Z > 0.5)",S11,S13,52,66,0.4562436675790915,0.0,29.227998451354367,0.0
"High LF/HF (Sympathetic Dominance, Z > 0.5)",S10,S11,79,52,0.40721647816991435,0.0,23.85085365362283,0.0
"High LF/HF (Sympathetic Dominance, Z > 0.5)",S10,S13,79,66,0.17312977671194316,0.0,12.057374466628183,0.0
"Low HRV (Parasympathetic Withdrawal, Z < -0.5)",S10,S13,115,140,0.07674660918152514,0.0,11.238115568425393,0.0
"High SCR (High Phasic Reactivity, Z > 0.5)",S11,S13,72,80,0.05598164662642067,0.0,4.983802251049091,0.0
"High SCR (High Phasic Reactivity, Z > 0.5)",S10,S13,42,80,0.06817363780442642,0.01,3.313103414703198,0.012
"High SCR (High Phasic Reactivity, Z > 0.5)",S10,S11,42,72,0.03105071327735997,0.078,1.6348948848426779,0.08509090909090909
"High SCL (High General Arousal, Z > 0.5)",S10,S13,72,66,0.0,1.0,0.0,1.0
