state,subject_1,subject_2,n1,n2,jsd,p_value,effect_z,q_value
High Instantaneous SCL (Z > 0.5),S17,S5,61075,64500,1.0,0.0,134635.2147947142,0.0
High Instantaneous SCL (Z > 0.5),S17,S9,61075,64500,1.0,0.0,134635.2147947142,0.0
High Instantaneous SCL (Z > 0.5),S17,S4,61075,63500,1.0,0.0,123101.4577695971,0.0
High Instantaneous SCL (Z > 0.5),S15,S17,68600,61075,1.0,0.0,119828.30228465663,0.0
High Instantaneous SCL (Z > 0.5),S16,S17,67300,61075,1.0,0.0,116238.04197952175,0.0
High Instantaneous SCL (Z > 0.5),S10,S17,72500,61075,1.0,0.0,115065.96102170217,0.0
High Instantaneous SCL (Z > 0.5),S13,S17,66400,61075,1.0,0.0,102823.62126545006,0.0
High Instantaneous SCL (Z > 0.5),S17,S6,61075,83273,1.0,0.0,98026.66782129886,0.0
High Instantaneous SCL (Z > 0.5),S17,S8,61075,75366,0.7240936873362658,0.0,86995.8660564101,0.0
High Instantaneous SCL (Z > 0.5),S17,S7,61075,71599,0.7477893649527048,0.0,82648.29942648784,0.0
High Instantaneous SCL (Z > 0.5),S17,S2,61075,76240,0.6186661688024698,0.0,77714.85069171633,0.0
High Instantaneous SCL (Z > 0.5),S14,S17,61474,61075,1.0,0.0,69964.9046451619,0.0
High Instantaneous SCL (Z > 0.5),S17,S3,61075,70006,0.36791362080875273,0.0,48059.29897339021,0.0
High Instantaneous SCL (Z > 0.5),S11,S16,53440,67300,0.3513086425483548,0.0,46593.2708084886,0.0
High Instantaneous SCL (Z > 0.5),S11,S5,53440,64500,0.3513086425483548,0.0,46545.789399841575,0.0
High Instantaneous SCL (Z > 0.5),S11,S9,53440,64500,0.3513086425483548,0.0,46545.789399841575,0.0
High Instantaneous SCL (Z > 0.5),S10,S11,72500,53440,0.3513086425483548,0.0,43767.85424204092,0.0
Low Instantaneous Vagal Action (Z < -0.5),S11,S7,112092,118929,0.30491386693378075,0.0,43110.033101149296,0.0
High Instantaneous SCL (Z > 0.5),S11,S15,53440,68600,0.3513086425483548,0.0,41712.907116671915,0.0
High Instantaneous SCL (Z > 0.5),S11,S13,53440,66400,0.3513086425483548,0.0,41690.2008318048,0.0
High Instantaneous SCL (Z > 0.5),S3,S4,70006,63500,0.25916779594287076,0.0,41033.55122711234,0.0
High Instantaneous SCL (Z > 0.5),S10,S3,72500,70006,0.25916779594287076,0.0,38965.15989461604,0.0
High Instantaneous SCL (Z > 0.5),S11,S4,53440,63500,0.3513086425483548,0.0,38814.18383054028,0.0
High Instantaneous SCL (Z > 0.5),S11,S6,53440,83273,0.4164090208831282,0.0,37680.342355467095,0.0
High Instantaneous SCL (Z > 0.5),S3,S6,70006,83273,0.3375799281573468,0.0,37136.304568599546,0.0
High Instantaneous SCL (Z > 0.5),S3,S5,70006,64500,0.25916779594287076,0.0,35437.65242801649,0.0
High Instantaneous SCL (Z > 0.5),S3,S9,70006,64500,0.25916779594287076,0.0,35437.65242801649,0.0
High Instantaneous SCL (Z > 0.5),S16,S3,67300,70006,0.25916779594287076,0.0,35016.40393646239,0.0
Low Instantaneous Vagal Action (Z < -0.5),S11,S6,112092,104068,0.29028565732208084,0.0,34908.68941617465,0.0
High Instantaneous SCL (Z > 0.5),S13,S3,66400,70006,0.25916779594287076,0.0,33651.99289746381,0.0
High Instantaneous SCL (Z > 0.5),S11,S17,53440,61075,0.2735612485657869,0.0,30882.61432287632,0.0
Low Instantaneous Vagal Action (Z < -0.5),S16,S6,115497,104068,0.2442629467219322,0.0,30614.01036136225,0.0
High Instantaneous SCL (Z > 0.5),S15,S3,68600,70006,0.25916779594287076,0.0,29396.029680950953,0.0
Low Instantaneous Vagal Action (Z < -0.5),S16,S7,115497,118929,0.22716897784793214,0.0,29255.95340406861,0.0
High Instantaneous LF (Z > 0.5),S11,S9,57115,68547,0.43404142942284923,0.0,28262.93836072841,0.0
Low Instantaneous Vagal Action (Z < -0.5),S11,S9,112092,55075,0.2687981010214621,0.0,24584.03321404387,0.0
High Instantaneous LF (Z > 0.5),S11,S2,57115,45256,0.4118518421191292,0.0,24549.837223863975,0.0
High Instantaneous SCL (Z > 0.5),S2,S6,76240,83273,0.2065406294050008,0.0,23095.427820795692,0.0
High Instantaneous SCL (Z > 0.5),S11,S14,53440,61474,0.36911248551912684,0.0,22748.08005990862,0.0
High Instantaneous SCL (Z > 0.5),S11,S7,53440,71599,0.17181323160240805,0.0,21585.334773528477,0.0
Low Instantaneous Vagal Action (Z < -0.5),S14,S6,24976,104068,0.43757527121990375,0.0,21155.29340470648,0.0
High Instantaneous LF (Z > 0.5),S11,S5,57115,58750,0.3299003031418958,0.0,20869.89720301245,0.0
High Instantaneous SCL (Z > 0.5),S11,S8,53440,75366,0.15776564961127873,0.0,20840.90947208055,0.0
High Instantaneous LF (Z > 0.5),S11,S4,57115,48235,0.3191062338633781,0.0,20397.4875982465,0.0
High Instantaneous SCL (Z > 0.5),S14,S3,61474,70006,0.28067196854677184,0.0,20172.17122253817,0.0
High Instantaneous SCL (Z > 0.5),S4,S6,63500,83273,0.11949594418468114,0.0,19614.92041195838,0.0
High Instantaneous SCL (Z > 0.5),S6,S8,83273,75366,0.17209772167266144,0.0,19408.39077991085,0.0
Low Instantaneous Vagal Action (Z < -0.5),S17,S6,117004,104068,0.1454575998386049,0.0,19173.54807797222,0.0
High Instantaneous SCL (Z > 0.5),S5,S6,64500,83273,0.11949594418468114,0.0,18461.521891240547,0.0
High Instantaneous SCL (Z > 0.5),S16,S6,67300,83273,0.11949594418468114,0.0,18443.574643990156,0.0
High Instantaneous SCL (Z > 0.5),S10,S6,72500,83273,0.11949594418468114,0.0,18081.449242204468,0.0
Low Instantaneous Vagal Action (Z < -0.5),S3,S7,104243,118929,0.1355638248693856,0.0,17745.352844493817,0.0
Low Instantaneous Vagal Action (Z < -0.5),S17,S7,117004,118929,0.1254193408852098,0.0,17731.455781928446,0.0
Low Instantaneous Vagal Action (Z < -0.5),S14,S7,24976,118929,0.3866168847043789,0.0,17453.042512524047,0.0
High Instantaneous SCL (Z > 0.5),S6,S7,83273,71599,0.16555110972834855,0.0,17055.434896326256,0.0
Low Instantaneous Vagal Action (Z < -0.5),S7,S9,118929,55075,0.17191897125873418,0.0,16926.963920006798,0.0
Low Instantaneous Vagal Action (Z < -0.5),S16,S9,115497,55075,0.20213645582492284,0.0,16813.424860994153,0.0
High Instantaneous LF (Z > 0.5),S11,S16,57115,53941,0.22661483417816516,0.0,16773.043926254486,0.0
High Instantaneous LF (Z > 0.5),S11,S14,57115,60525,0.262056767653954,0.0,16659.503372296684,0.0
High Instantaneous SCL (Z > 0.5),S15,S2,68600,76240,0.10414491802316969,0.0,16402.539706901884,0.0
Low Instantaneous Vagal Action (Z < -0.5),S3,S6,104243,104068,0.14130490817445687,0.0,16399.858964287672,0.0
High Instantaneous SCL (Z > 0.5),S10,S2,72500,76240,0.10414491802316969,0.0,16085.013581169964,0.0
High Instantaneous SCL (Z > 0.5),S13,S6,66400,83273,0.11949594418468114,0.0,16030.197674360355,0.0
High Instantaneous SCL (Z > 0.5),S15,S6,68600,83273,0.11949594418468114,0.0,15922.34496251228,0.0
High Instantaneous LF (Z > 0.5),S2,S8,45256,63066,0.28341736746239055,0.0,15894.064267645095,0.0
High Instantaneous SCL (Z > 0.5),S6,S9,83273,64500,0.11949594418468114,0.0,15715.472126326464,0.0
High Instantaneous SCL (Z > 0.5),S11,S2,53440,76240,0.10082906808329967,0.0,15457.063166381015,0.0
High Instantaneous LF (Z > 0.5),S8,S9,63066,68547,0.21734258178449886,0.0,15432.329125113343,0.0
High Instantaneous LF (Z > 0.5),S13,S9,58738,68547,0.2152086362708303,0.0,15075.470587602133,0.0
High Instantaneous LF (Z > 0.5),S14,S8,60525,63066,0.20701627740597023,0.0,15073.472590257334,0.0
High Instantaneous SCL (Z > 0.5),S3,S7,70006,71599,0.10251492702515737,0.0,14489.140083543056,0.0
Low Instantaneous Vagal Action (Z < -0.5),S14,S9,24976,55075,0.39810631264503515,0.0,14417.484055708022,0.0
High Instantaneous SCL (Z > 0.5),S16,S2,67300,76240,0.10414491802316969,0.0,14304.937496297147,0.0
High Instantaneous LF (Z > 0.5),S11,S7,57115,55760,0.21413252607985095,0.0,14254.664225292112,0.0
High Instantaneous LF (Z > 0.5),S2,S7,45256,55760,0.2660484306390931,0.0,13792.197088542396,0.0
High Instantaneous LF (Z > 0.5),S11,S17,57115,57958,0.2177378549006196,0.0,13770.021221251387,0.0
Low Instantaneous Vagal Action (Z < -0.5),S17,S9,117004,55075,0.16731982090715464,0.0,13724.53895566522,0.0
High Instantaneous SCL (Z > 0.5),S2,S4,76240,63500,0.10414491802316969,0.0,13721.215099179706,0.0
High Instantaneous SCL (Z > 0.5),S13,S2,66400,76240,0.10414491802316969,0.0,13538.318031254174,0.0
High Instantaneous SCL (Z > 0.5),S3,S8,70006,75366,0.09136315144464013,0.0,13534.382569496565,0.0
Low Instantaneous Vagal Action (Z < -0.5),S3,S9,104243,55075,0.16294229419829526,0.0,13482.528628432427,0.0
High Instantaneous SCL (Z > 0.5),S2,S9,76240,64500,0.10414491802316969,0.0,13410.830626164681,0.0
High Instantaneous SCL (Z > 0.5),S2,S5,76240,64500,0.10414491802316969,0.0,13410.830626164681,0.0
High Instantaneous LF (Z > 0.5),S10,S11,51497,57115,0.20709790489605556,0.0,13338.59213211895,0.0
High Instantaneous LF (Z > 0.5),S11,S6,57115,57348,0.20049825512261843,0.0,13095.84755040819,0.0
High Instantaneous LF (Z > 0.5),S13,S2,58738,45256,0.22659412537337234,0.0,13005.672221127023,0.0
High Instantaneous LF (Z > 0.5),S7,S9,55760,68547,0.18178839122599952,0.0,12752.36938705877,0.0
High Instantaneous LF (Z > 0.5),S16,S2,53941,45256,0.21570570506202674,0.0,12481.682292235326,0.0
High Instantaneous LF (Z > 0.5),S16,S8,53941,63066,0.18323390549898302,0.0,12317.01616673616,0.0
High Instantaneous LF (Z > 0.5),S4,S8,48235,63066,0.19327027924119816,0.0,12245.120263732326,0.0
High Instantaneous LF (Z > 0.5),S5,S8,58750,63066,0.16461517201373763,0.0,12219.788299516478,0.0
